modelName,modelIndex,fileName,time,acc,recall,precision,dice,delta_t_peak,delta_peak,delta_auc,ratio_t_peak,ratio_peak,ratio_auc,aif_mse,aif_sse,aif_normalized_cross_correlation,aif_normalized_mutual_information,hausdorff,mean_surface_distance,median_surface_distance,std_surface_distance,max_surface_distance,overlap_dice,overlap_volume_similarity,overlap_false_negative,overlap_false_positive,peak_t,auc,peak
target_middlep,0.4375,42174976,0,0.9989132351345487,0.038980509745127435,1.0,0.07503608170969639,0,0.05448464684601401,2.958706321745522,0,12.132442320319779,2.9587063217455216,0.0037733791912059585,0.26036316419321115,0.0,0.8758269177170988,13.718080259836876,inf,inf,inf,inf,inf,inf,inf,inf,7,9.946614724545421,0.5035669124568011
target_middlep,0.46875,42175470,0,0.9990980360243056,0.05,1.0,0.09523810293164879,0,0.017109956191484588,1.2103490050407952,0,3.217724982620472,-1.2103490050407926,0.0008128020061056308,0.05608333842128853,0.0,0.8729611832805226,7.105299730799971,inf,inf,inf,inf,inf,inf,inf,inf,10,9.51935598353374,0.5488507446025087
target_middlep,0.4375,42191880,0,0.9993303087022569,0.0412621359223301,1.0,0.07925408998538357,0,0.09290443017577948,2.469532453483393,0,26.08056527407979,2.4695324534833936,0.0014536341563272405,0.1003007567865796,0.0,0.8993651248158759,6.894738528187986,inf,inf,inf,inf,inf,inf,inf,inf,7,9.357456873556472,0.44912535253482316
target_middlep,0.4375,42204402,0,0.9977205064561632,0.03490990990990991,0.44075829383886256,0.06469565542714555,0,0.09873115749516942,2.214466677348039,0,-28.493120988237248,-2.2144666773480384,0.0014308611966149676,0.09872942256643277,0.0,0.8529560424067465,10.526131197186388,inf,inf,inf,inf,inf,inf,inf,inf,8,5.208549426543662,0.24777759293595525
target_middlep,0.46875,42216394,0,0.9978756374782987,0.050397877984084884,1.0,0.09595959922092495,0,0.040018970760770045,0.6241615531359699,0,-10.26696994686876,-0.6241615531359721,0.000169516797251755,0.011696659010371094,0.0,0.8281772861323842,9.625408006520054,inf,inf,inf,inf,inf,inf,inf,inf,8,9.536649072904178,0.34976468466889354
target_middlep,0.453125,42218812,0,0.9972186618381076,0.03782991202346041,1.0,0.07290195232296706,0,0.08875432935538213,0.35606333400934,0,20.283623716192846,0.35606333400934076,0.0012502733981497051,0.08626886447232966,0.0,0.9105883113373885,13.391040913159786,inf,inf,inf,inf,inf,inf,inf,inf,8,8.567926477559405,0.5263207652014962
target_middlep,0.4375,42222879,0,0.9972330729166666,0.03431952662721893,1.0,0.06636155873466373,0,0.027501714881716932,0.17174372911094693,0,6.580891474586385,0.1717437291109504,0.0003360147452946469,0.023185017425330634,0.0,0.8934372667450353,11.636460184062155,inf,inf,inf,inf,inf,inf,inf,inf,8,10.666899752449643,0.44540428914420227
target_middlep,0.453125,42224330,0,0.9991056654188368,0.0356489945155393,1.0,0.06884378580014311,0,0.04121325468144332,0.568991363181155,0,11.843965312105627,-0.5689913631811545,0.00021303545984491956,0.01469944672929945,0.0,0.8244170488398129,12.633329526176729,inf,inf,inf,inf,inf,inf,inf,inf,10,8.007120277250893,0.38918163854119314
target_middlep,0.453125,42224343,0,0.9987046983506944,0.05093167701863354,1.0,0.09692671928530308,0,0.05379658657816866,2.3289514223012913,0,-15.838283923555268,-2.3289514223012917,0.0016234151082416954,0.11201564246867698,0.0,0.9055766412571723,9.954566316464893,inf,inf,inf,inf,inf,inf,inf,inf,7,1.7631983307602037,0.2858651270129132
target_middlep,0.453125,42234636,0,0.999404059516059,0.10899873257287707,1.0,0.1965714377534693,1,0.04358653369909404,1.2838574165121015,1,9.857655189082559,1.283857416512102,0.000495083033471105,0.03416072930950625,0.0,0.7778568558634928,2.58577589809601,inf,inf,inf,inf,inf,inf,inf,inf,11,8.252571465270195,0.48574577809391245
target_middlep,0.40625,42252861,0,0.998641120062934,0.03433734939759036,1.0,0.06639488021901642,1,0.019474665607998876,0.6464163191391812,1,6.044035179501136,0.6464163191391791,0.00048511758885159175,0.03347311363075983,0.0,0.929508407084012,12.736504381083257,inf,inf,inf,inf,inf,inf,inf,inf,8,8.752261652772523,0.34168764137043117
target_middlep,0.453125,42268224,0,0.9988327026367188,0.04108635097493036,1.0,0.0789297720472925,0,0.045354925989971207,1.7099519245800314,0,10.573207115987996,-1.709951924580031,0.001977272525072929,0.1364318042300321,0.0,0.8945379247377186,15.61567084664282,inf,inf,inf,inf,inf,inf,inf,inf,9,4.988957420833063,0.4743158409936029
target_middlep,0.4375,42272900,0,0.9979866875542535,0.05075939248601119,1.0,0.09661468582497267,3,0.14101490450025184,4.866914473901138,3,33.89637258217579,4.8669144739011365,0.0073258485572083405,0.5054835504473755,0.0,0.9070372203217527,12.332542160614885,inf,inf,inf,inf,inf,inf,inf,inf,12,20.76825888292027,0.557032589455732
target_middlep,0.4375,42275061,0,0.9995100233289931,0.04304635761589404,1.0,0.0825396971025445,0,0.05289872210395946,3.800838890000648,0,-12.508233380697153,-3.8008388900006476,0.0035281907091251714,0.24344515892963683,0.0,0.8890701501833852,10.080103321334242,inf,inf,inf,inf,inf,inf,inf,inf,8,-2.3290318067128655,0.3700124956031979
target_middlep,0.4375,42292501,0,0.9991963704427084,0.041456016177957536,1.0,0.07961165942124603,0,0.012571516101666735,0.1416230106340457,0,-2.4470754191026556,-0.14162301063404514,0.00020998224610643286,0.014488774981343867,0.0,0.8029444243709927,6.840865845390299,inf,inf,inf,inf,inf,inf,inf,inf,6,9.533832452037476,0.5011648405111883
